feature,group1_mean,group2_mean,group1_std,group2_std,fold_change,statistic,p_value,neg_log10_p,significant,n_group1,n_group2,p_adjusted,significant_adj
SM(24:1),78.42939696969695,83.64848400000001,14.316372852604346,15.210278192999242,-0.09294488603763894,-2.492691242791194,0.0135045084109351,1.8695212203105915,True,99,100,0.09949907021651846,False
TAG54:5-FA22:4,0.5869959183673469,0.455046875,0.4438246163590538,0.2740724982662818,0.36733529761773465,2.496967444957157,0.013524506289218599,1.8688785798096803,True,98,96,0.09949907021651846,False
TAG49:0-FA15:0,0.6447625,0.4162968085106383,0.83226206794305,0.3225098436280925,0.6311553272381522,2.504460935184256,0.013568055029525246,1.8674824036655828,True,96,94,0.09949907021651846,False
TAG47:1-FA15:0,0.8324484210526314,0.5620376344086021,0.9610893819950622,0.4328421629471626,0.5666941389752406,2.4959387661954033,0.01380189258567579,1.8600613568481341,True,95,93,0.10013713556841371,False
TAG56:6-FA20:4,8.152918181818183,6.498455000000002,6.123655243187776,2.5913561817866406,0.3272197766823418,2.4775559496134116,0.014494300668697899,1.8388027339517814,True,99,100,0.10405382164265228,False
FFA(24:0),1.297960606060606,1.187792,0.35883277437114663,0.26761976595026143,0.12796437529554067,2.4531515368357937,0.015107087629010628,1.8208192516477293,True,99,100,0.10460953379421405,False
TAG50:2-FA18:2,70.09985757575758,41.551478,111.9467324396542,26.710987404314547,0.7545117178708501,2.4687726483346535,0.015110448872495574,1.820722634274318,True,99,100,0.10460953379421405,False
TAG54:4-FA20:3,8.497923232323233,6.613073000000001,6.910342609050201,3.278619890200013,0.3617894831548635,2.4541876516028793,0.015350404221341353,1.8138801837837584,True,99,100,0.10460953379421405,False
TAG47:1-FA16:0,0.9257876288659794,0.600281443298969,1.193466250854499,0.532932140835393,0.625042205693546,2.4527488589912987,0.015473957226373349,1.810398607967995,True,97,97,0.10460953379421405,False
TAG51:1-FA18:0,1.203639393939394,0.82432,1.4253300127581046,0.5870484627147555,0.5461268213600281,2.4501748960261183,0.015608249159312648,1.8066458107809582,True,99,100,0.10460953379421405,False
TAG51:1-FA17:0,5.35089292929293,3.6745540000000005,6.2839546678344576,2.645686098157496,0.5422105067798354,2.4481465421668447,0.015678407861371604,1.8046980419148584,True,99,100,0.10460953379421405,False
TAG52:1-FA18:1,78.91379191919192,55.352723999999995,91.15005340603928,30.28035078148737,0.5116231486710034,2.4419673548311507,0.016075938512000044,1.793823663586631,True,99,100,0.10460953379421405,False
TAG58:6-FA22:4,0.5402824742268042,0.414920202020202,0.48387810620941973,0.14758342018751458,0.38087997407781077,2.4427286657475777,0.01612011128068637,1.7926319644899096,True,97,99,0.10460953379421405,False
TAG54:1-FA18:1,6.921180808080807,4.147872,11.030122464680632,2.4046330542248446,0.7386468182021354,2.4448459647890486,0.016120881089950193,1.792611225431284,True,99,100,0.10460953379421405,False
FFA(22:4),0.9591626262626264,0.8866759999999999,0.22694226883696458,0.19392849776777168,0.11336841798075441,2.4211855506549798,0.016401573633629242,1.785114481975741,True,99,100,0.10460953379421405,False
TAG44:0-FA14:0,1.6734648936170216,0.8335684782608695,3.2080890348338156,0.945301511284743,1.0054656497758123,2.4326885512376846,0.016609101668250307,1.779653856475296,True,94,92,0.10460953379421405,False
TAG56:4-FA20:3,1.1335828282828282,0.9006169999999999,0.869969809356577,0.4022368049841266,0.3319041907507288,2.4205801959211173,0.016798383045049013,1.7747325199651471,True,99,100,0.10460953379421405,False
TAG48:2-FA16:1,12.564513131313134,8.797672,13.932960401959837,6.8058073420711755,0.514161048133446,2.419382155401169,0.016812694434676582,1.7743626801155925,True,99,100,0.10460953379421405,False
