,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
187,7.969021337821672,4.29353468984512,13.797741810447928,-3.5642463081708877,-6.37498142903094,-2.299088738918254,-1.8539726649466117,-2.7452893342666886,-0.1320190219294717,-0.6554140304861354
188,11.431643130123783,-2.477536829886377,14.238047994558746,-8.945892889861506,-0.03849798144760357,-2.4981239919545755,-2.771935176966947,-2.375314226908884,-1.2976511560626822,2.805881445981627
189,-0.498781274871357,1.2161850559137004,2.2319408113228567,-6.804078418456668,-4.547807233167852,1.7099455588026364,6.4257207023686895,3.354060449923146,2.7365105792320152,2.558752205384467
19,-1.213053937191357,0.22337224689268953,5.5141095871690435,6.208036677142448,0.8554245275390007,-0.2743528129141872,-2.000035586100761,-3.746580449089909,1.4165064758446428,0.47632074221757076
190,-6.924965734894175,-4.4066545115866695,4.430950802429978,1.2790007524219573,-5.138783081872304,4.802562617171527,-0.8130395658595133,-1.9841681348932738,-2.5616442570618236,1.0765007901555632
191,-9.701569072349884,-0.49007012268592626,-4.050185476747775,-4.449135456625702,-1.9032272383260906,-1.56879685997501,-1.5119918739429987,-1.9767391697673604,-1.1979327930352117,-0.2594455954248921
192,-4.675966649643989,-7.188064472115539,-2.3411342333312977,-14.237425682554756,-2.6986389200397998,-2.999599969941316,-3.1234865021717697,0.3788490235836253,0.3169337730897713,1.8653275331913113
194,-6.877568023798193,-1.3184384944799301,0.4123427298836033,-4.334041022608709,-2.5795307039808852,-1.9176791109487363,1.0034991063639156,-1.0347941476790339,-1.4714474845162997,1.0877450940195452
195,2.5866523906656447,-4.332075599367948,9.694620867833038,-2.1333236478839295,-1.0972649734519546,-1.7459726479331286,-1.1469657857001532,5.237654223124987,-2.496734957983613,4.1475666311320145
196,-8.419379823023004,-3.187529844199835,-4.818717055151691,-2.7264944342149757,0.4491032529425444,0.6894176007951494,2.4445095648268094,-1.5871028445463486,-1.6603458365856156,0.6831610147601992
197,-10.286837342513424,2.560284954413624,-10.853636846220468,-5.961318846734607,0.966811887788278,-0.49694518318105063,1.8111466671080303,-0.4899654951814188,0.30356298216167127,1.4511255728497265
198,-9.903821862875485,-0.22450426453290687,-7.326822188222336,-2.673835480980032,2.171360324987344,-3.036623054090064,1.8281328451047745,-0.05078557870640599,-2.094505003491238,0.9597750549739467
