,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10
118,-8.673343210257423,-1.362435191727699,-3.1276689976364427,-1.080190475896033,0.11245927310201798,1.325700019722076,1.1689617913718806,1.228149798271164,-0.4711351131471397,1.0582895351600334
120,-12.066000612747878,-0.7382442418049613,-4.847588340399539,2.67439766572226,-1.7219407310896093,-0.5921645622227997,0.8901589605565579,-3.4028922272428423,-2.1795068914300657,0.5135472667832397
122,-2.055996957397406,-1.1130957171989484,0.8730884419748656,-0.6370562348150848,1.3112758268662756,3.018584558992787,-1.5393540595479822,-1.7457332333323186,-1.1918944560180087,-0.5628474098314821
126,9.80133716352901,5.995068033963572,0.598355132378921,3.1927893084120087,6.055767899084254,0.540646690849581,-1.0811337053235608,1.5285737818618306,-7.769745239400882,2.533613398990484
131,-7.578491081973181,2.299178452363828,-6.237837419766779,-4.0806832043949655,-1.50890833200763,3.2567682699829983,1.303213761412701,-0.058833372177712485,1.8580243635784042,0.5912824729007615
132,-4.12930421774025,-7.438629223765756,-3.5736721100443822,-1.1246752349922045,2.4997930476777253,-2.23537148401818,1.9571667963646273,0.7268207984968943,-2.2017509632955448,-3.265614497383254
134,-9.279481202081962,-0.6578002014033486,-3.7743247902852977,-0.5821600234728693,-2.0570174714356204,4.759450071561044,-1.465321446331132,-0.35704499900244,1.5076576172939786,0.2909763706670898
138,-9.857931248696831,-2.048186929482269,-6.148702825262964,-1.6387548476044764,-1.1328329456018482,-1.733268581841564,-2.323599771605198,1.866322698187189,2.2277255182842013,-4.263396327400212
139,28.462455330034775,26.193038952627795,7.790859066496173,-9.410904841234508,-19.88013194045245,-12.179710748709427,18.48445782641181,-0.7618838464459711,4.696414826222008,-3.5797050871935854
141,-8.332477962416544,-0.15720192032361877,0.2760060841500962,0.27532035128766363,-3.2695327498114843,2.9327128980125323,-1.8538893505758662,-2.0199159386878285,-0.4150692019519349,-2.608383396453288
142,17.30144148249325,1.820638788865815,1.622295025428823,-3.3110406668038355,0.4652570325316675,2.357877149940926,8.570648535720089,3.1858517361840453,-1.9707647957576744,-5.663079742350187
